game_id,title,franchise,developer,publisher,developer_size,development_years,budget_million_usd,release_date,release_year,genre,age_rating,game_engine,launch_price_usd,current_price_usd,metacritic_score,user_score,steam_rating_percent,copies_sold_million,estimated_revenue_million,peak_players,main_story_hours,completionist_hours,game_size_gb,minimum_ram_gb,recommended_ram_gb,vr_support,ray_tracing,goty_award,award_count,nomination_count,commercial_success
68,Call of Duty 8,Call of Duty,Mccoy-White,Rios-Payne,Indie,2.1,1.45,2024-03-06,2024,RPG,E,RAGE,9.99,4.99,84,8.5,82,2.33,53.96,259760,40.9,149.0,70.1,8,16,1,0,0,0,10,Average
69,Elden Ring 11,Elden Ring,"Hughes, Price and Ochoa",Graham Ltd,AAA,1.8,233.55,2025-07-13,2025,Racing,E10+,Unity,69.99,51.48,89,9.1,87,35.56,3073.07,4544567,4.5,12.4,119.6,16,16,0,1,0,2,10,Blockbuster
70,Diablo 2,Diablo,Smith-Bradford,"Arroyo, Lopez and Holt",AAA,4.9,313.68,2024-03-17,2024,Horror,E,Unity,69.99,63.82,91,9.1,92,56.28,4430.68,6992180,6.7,16.9,113.4,16,16,0,1,0,3,11,Legendary
71,Far Cry 8,Far Cry,Lynch Ltd,Williams and Sons,AAA,5.2,248.27,1992-12-26,1992,Action,M,Frostbite,59.99,48.99,67,6.8,70,23.28,1817.85,2549134,13.0,38.2,60.8,4,8,0,0,0,0,8,Blockbuster
72,Diablo 9,Diablo,Lynch-Brown,Dixon-Evans,AA,2.1,14.34,2007-10-10,2007,Sandbox,E10+,Unreal Engine 4,49.99,37.7,84,8.6,78,8.6,449.92,1913323,23.8,206.6,51.6,8,8,0,0,0,0,7,Hit
73,Base Odyssey,Indie,"Parker, Shields and Burke",Fuentes-Jones,AAA,6.3,274.53,2019-05-31,2019,Horror,T,Creation Engine,59.99,50.42,78,8.0,76,39.13,2979.85,8185869,6.4,16.9,108.3,16,16,0,0,0,0,2,Blockbuster
74,Writer Odyssey,Indie,Morales-Mitchell,"Johnson, Leon and Hayden",AAA,5.6,281.18,1991-03-23,1991,FPS,T,RAGE,59.99,59.85,69,7.1,67,17.92,1360.36,3997309,6.1,21.4,54.9,4,8,0,0,0,0,2,Blockbuster
75,Far Cry 1,Far Cry,"Simmons, Peterson and Price",Hopkins Inc,AAA,3.8,245.05,2016-01-02,2016,Action,T,Anvil,59.99,41.12,67,6.5,70,15.2,1011.5,2410311,10.6,34.9,99.7,16,16,0,0,0,0,3,Blockbuster
76,Need for Speed 20,Need for Speed,Hampton-Weaver,Tucker-King,AAA,6.8,167.01,2011-12-23,2011,RPG,T,Godot,59.99,50.45,80,8.2,76,25.3,1737.98,4122879,29.4,138.6,100.4,8,8,0,0,0,0,0,Blockbuster
77,Diablo 16,Diablo,Ruiz-Best,Cummings-French,AA,3.2,31.11,2015-10-25,2015,RPG,M,Godot,39.99,27.19,79,7.7,78,7.26,376.48,1142124,29.0,142.5,66.2,8,8,0,0,0,0,4,Hit
78,Cyberpunk 4,Cyberpunk,Rodriguez-Wilson,Stein Group,AAA,3.3,193.73,2004-06-19,2004,FPS,T,Unreal Engine 4,59.99,58.46,80,8.3,84,34.57,2322.02,6494191,5.5,17.3,86.1,4,8,0,0,0,0,1,Blockbuster
79,Assassin's Creed 8,Assassin's Creed,Sanders Inc,Green-Wilkinson,AAA,5.4,273.34,1999-01-18,1999,Sandbox,E10+,Unreal Engine 4,59.99,51.91,77,7.7,72,36.91,2580.89,4727133,16.6,209.8,70.1,4,8,0,0,0,0,1,Blockbuster
80,The Witcher 3,The Witcher,"Perez, Wilkerson and Zamora",Hodge and Sons,AAA,4.8,183.61,1996-03-12,1996,Sports,E,Frostbite,59.99,48.73,66,6.5,66,15.65,1206.41,3198286,2.3,8.2,69.5,4,8,0,0,0,0,5,Blockbuster
81,Need for Speed 13,Need for Speed,Chandler-Moore,"Franklin, Steele and Snow",Indie,3.7,1.19,2015-09-18,2015,Sandbox,E10+,Unreal Engine 5,9.99,4.99,78,8.2,72,3.09,74.36,375841,18.0,208.7,51.5,8,8,0,0,0,0,9,Average
82,Need for Speed 20,Need for Speed,"Roberts, Wood and Contreras",Burton Ltd,Indie,3.0,2.58,2004-03-02,2004,Simulation,E10+,Creation Engine,19.99,4.99,86,8.9,80,4.02,142.78,701808,8.7,48.5,33.8,4,8,0,0,0,1,7,Average
83,Civilization 9,Civilization,Holder LLC,"Chavez, Browning and Mcbride",Indie,1.8,4.07,1994-11-20,1994,Simulation,E10+,Anvil,9.99,8.65,68,7.0,66,1.46,23.95,302080,10.8,47.1,14.9,4,8,0,0,0,0,1,Average
84,Professor Odyssey,Indie,"Kennedy, Hayes and Robbins","May, Gonzalez and Haney",AA,2.7,23.57,1997-01-08,1997,Strategy,E,Godot,49.99,24.76,77,7.6,77,8.84,561.46,1409284,14.6,72.3,37.5,4,8,0,0,0,0,10,Hit
85,Grand Theft Auto 11,Grand Theft Auto,"Hawkins, Henry and Lawrence","Lee, Ashley and Mclean",AA,3.9,39.91,2009-09-29,2009,FPS,E,Anvil,29.99,4.99,69,6.8,72,4.38,213.85,467177,5.0,16.7,61.3,8,8,0,0,0,0,2,Average
86,Final Fantasy 12,Final Fantasy,"Elliott, Kelley and Rhodes",Brown-Garcia,AAA,6.2,328.47,2015-01-07,2015,FPS,E10+,RE Engine,59.99,56.07,91,9.0,91,48.7,3713.63,7187509,6.2,20.5,105.9,8,8,0,0,0,3,12,Legendary
87,Forza 13,Forza,"Martin, Willis and Gonzalez",Smith Ltd,AAA,4.3,326.97,2023-11-27,2023,Sandbox,E,RE Engine,69.99,56.66,87,9.1,83,30.9,2592.97,6154502,18.0,199.5,119.8,16,16,0,1,0,1,3,Blockbuster
88,The Witcher 17,The Witcher,Walter Group,"Reilly, Blake and Blankenship",AAA,3.6,69.25,2006-06-20,2006,Sports,E10+,Creation Engine,59.99,58.62,69,7.1,65,25.97,1622.75,5240067,2.0,9.1,87.8,8,8,0,0,0,0,0,Blockbuster
89,Resident Evil 20,Resident Evil,"Stephens, Carrillo and Reed",Morrison-Woodard,Indie,4.0,0.82,2022-05-30,2022,FPS,E10+,RE Engine,19.99,4.99,84,8.6,81,2.15,84.82,454953,5.8,17.4,65.3,8,16,0,0,0,0,0,Average
90,Final Fantasy 4,Final Fantasy,Jones-Whitehead,Sharp-Parker,AAA,1.9,53.79,2020-09-14,2020,Adventure,M,Decima,59.99,38.71,85,8.7,84,45.22,3525.11,5168991,10.3,41.5,108.7,16,16,0,1,0,1,5,Legendary
91,Terraria 13,Terraria,Ford Group,Boone and Sons,Indie,3.9,4.73,2010-09-04,2010,FPS,E,Anvil,24.99,24.37,79,8.1,73,1.76,61.53,382946,5.1,18.4,43.9,8,8,0,0,0,0,8,Average
92,Civilization 17,Civilization,Lewis Group,Randolph Ltd,Indie,2.8,1.02,2006-06-02,2006,RPG,E10+,Unreal Engine 4,24.99,19.72,59,5.6,56,0.81,26.53,105800,29.1,128.2,36.2,8,8,0,0,0,0,10,Flop
93,Hades 5,Hades,Arroyo-Hendricks,"Ford, Simon and Snyder",Indie,3.2,1.24,2000-03-22,2000,Horror,E10+,Frostbite,9.99,8.39,52,5.4,55,0.53,15.78,67814,6.1,17.7,27.4,4,8,0,0,0,0,6,Flop
94,Call of Duty 7,Call of Duty,"Davis, Key and Bradford",Carter PLC,AAA,6.0,195.8,2012-06-08,2012,Adventure,T,RE Engine,59.99,50.25,94,9.4,98,45.26,3056.29,7724663,8.0,36.4,96.0,8,8,0,0,1,4,13,Legendary
95,The Witcher 15,The Witcher,Lee Inc,Meyers-Allen,AAA,5.0,348.05,1993-01-05,1993,RPG,M,Anvil,59.99,53.63,77,7.6,73,24.64,1735.93,3773924,36.7,160.1,59.9,4,8,0,0,0,0,10,Blockbuster
96,Minecraft 5,Minecraft,"Estrada, Johnston and Hess",Martinez and Sons,Indie,2.3,4.95,2007-08-31,2007,Adventure,E,Unreal Engine 4,9.99,4.99,77,7.5,77,2.81,78.73,587917,10.0,47.2,35.0,8,8,0,0,0,0,5,Average
97,Far Cry 9,Far Cry,Perkins-Simpson,Pierce PLC,AAA,5.5,237.46,2019-07-24,2019,Adventure,T,Unreal Engine 4,59.99,41.88,89,9.3,85,56.76,3928.54,11091088,8.7,42.8,108.1,16,16,0,0,0,2,2,Legendary
98,Terraria 20,Terraria,Tapia Ltd,"Jackson, Ellis and Harris",AAA,6.5,136.56,1992-07-30,1992,FPS,T,Creation Engine,59.99,41.19,75,7.1,70,26.59,2002.82,2939014,6.3,20.1,60.6,4,8,0,0,0,0,7,Blockbuster
99,Grand Theft Auto 10,Grand Theft Auto,Schwartz Ltd,Kim Inc,AAA,2.9,83.35,1993-08-24,1993,Horror,E,Unreal Engine 4,59.99,39.58,88,8.7,90,50.61,3987.05,10651118,5.2,16.3,64.7,4,8,0,0,0,2,2,Legendary
100,Halo 6,Halo,Smith Inc,Powers-Dixon,Indie,1.5,2.12,2004-09-16,2004,Adventure,E,Frostbite,19.99,19.34,68,6.5,70,1.57,40.06,296046,11.5,45.7,32.3,4,8,0,0,0,0,1,Average
101,Terraria 12,Terraria,Buchanan-Huang,"Li, Patel and Irwin",Indie,2.8,3.24,2006-04-26,2006,Action,T,Frostbite,19.99,18.87,76,7.4,78,2.56,63.73,364184,12.3,38.7,39.2,8,8,0,0,0,0,0,Average
102,Minecraft 20,Minecraft,Foley-Smith,Diaz PLC,AAA,6.3,46.11,2011-01-15,2011,Racing,E,Anvil,59.99,56.4,89,8.6,87,50.75,3919.31,5426738,3.9,13.8,97.2,8,8,0,0,0,2,9,Legendary
103,Battlefield 11,Battlefield,"Taylor, Tran and Gibson",Lewis-Murray,Indie,1.1,3.37,2015-03-12,2015,Strategy,E,Frostbite,19.99,4.99,67,6.7,70,1.3,36.41,230784,18.3,65.1,53.7,8,8,0,0,0,0,0,Average
